N°;Nombre_comercial;Url_Imagnes;;;
23;Honor X5B 128GB Negro;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060833.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060833_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060833_4.jpg";;;
24;Honor X7B 256GB Negro;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062303_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062303_3.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062303_4.jpg";;;
25;Honor X6B 256GB Verde;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060060.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060060_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70060060_5.jpg";;;
26;HOR X7C 256GB Blanco;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062546.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062546_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062546_4.jpg";;;
27;Honor X7C 256GB Negro;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062554.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062554_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70062554_4.jpg";;;
28;KA Black C Pro 2 Verde + Cafetera KA MCM4;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059435_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70059435_3.jpg;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRulxgPFNBRIWW62WnasABc50k9IngYnVhE-A&s";;;
29;Motorola Edge 50 Fusion 512GB Verde + MotoBuds 065;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061883.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061883_4.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061883_5.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061883_6.jpg";;;
30;Motorola E40 Neo 256GB Naranja;"https://carulla.vteximg.com.br/arquivos/ids/19702192/Celular-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Naranja-3544704_a.jpg?v=638750733266600000;https://carulla.vteximg.com.br/arquivos/ids/19702195/Celular-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Naranja-3544704_d.jpg?v=638750733270030000;https://carulla.vteximg.com.br/arquivos/ids/19702199/Celular-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Naranja-3544704_h.jpg?v=638750733275030000";;;
31;Motorola E40 Neo 256GB 230V Azul;"https://exitocol.vteximg.com.br/arquivos/ids/26787316/Moto-Edge-40-Neo-256-Azul-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Azul-3500229_f.jpg?v=638750726131200000;https://exitocol.vteximg.com.br/arquivos/ids/26787317/Moto-Edge-40-Neo-256-Azul-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Azul-3500229_g.jpg?v=638750726133370000;https://exitocol.vteximg.com.br/arquivos/ids/26787315/Moto-Edge-40-Neo-256-Azul-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Azul-3500229_e.jpg?v=638750726129000000";;;
32;Motorola E40 Neo 256GB Azul + MotoBuds 135;"https://exitocol.vteximg.com.br/arquivos/ids/26787316/Moto-Edge-40-Neo-256-Azul-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Azul-3500229_f.jpg?v=638750726131200000;https://exitocol.vteximg.com.br/arquivos/ids/26787317/Moto-Edge-40-Neo-256-Azul-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Azul-3500229_g.jpg?v=638750726133370000;https://exitocol.vteximg.com.br/arquivos/ids/26787315/Moto-Edge-40-Neo-256-Azul-MOTOROLA-Edge-40-neo-256-GB-8-GB-RAM-Azul-3500229_e.jpg?v=638750726129000000;https://http2.mlstatic.com/D_NQ_NP_964284-MCO73374077883_122023-O.webp";;;
33;Motorola Edge 50 Fusion 256GB Verde;"https://compras.tigo.com.co/arquivos/ids/164060-1000-1000/Edge-50-Fusion_Verde-Azulado_01.png?v=638574239429070000;https://compras.tigo.com.co/arquivos/ids/164063-1000-1000/Edge-50-Fusion_Verde-Azulado_04.png?v=638574239718130000;https://compras.tigo.com.co/arquivos/ids/164064-1000-1000/Edge-50-Fusion_Verde-Azulado_05.png?v=638574239816570000";;;
34;Motorola Edge 50 Fusion 256GB Rojo;"https://compras.tigo.com.co/arquivos/ids/164070-1000-1000/Edge-50-Fusion_Rosa-Fragola_01.png?v=638574241059200000;https://compras.tigo.com.co/arquivos/ids/164073-1000-1000/Edge-50-Fusion_Rosa-Fragola_04.png?v=638574241369870000;https://compras.tigo.com.co/arquivos/ids/164074-1000-1000/Edge-50-Fusion_Rosa-Fragola_05.png?v=638574241486900000";;;
35;Motorola Edge 50 Fusion 256GB Azul;"https://compras.tigo.com.co/arquivos/ids/164449-1000-1000/Edge-50-Fusion_Azul-Artico_01.png?v=638647130481270000;https://compras.tigo.com.co/arquivos/ids/164452-1000-1000/Edge-50-Fusion_Azul-Artico_04.png?v=638647131806130000;https://compras.tigo.com.co/arquivos/ids/164453-1000-1000/Edge-50-Fusion_Azul-Artico_05.png?v=638647131897730000";;;
36;KDK D65LX 64GB Negro + SMARTAGKODAK;"https://http2.mlstatic.com/D_NQ_NP_2X_810398-MLA50434089780_062022-F.webp;https://http2.mlstatic.com/D_NQ_NP_2X_853223-MLA50775572169_072022-F.webp;https://i0.wp.com/itseller.co/wp-content/uploads/2021/02/st3.jpg?fit=564%2C384&ssl=1";;;
38;Motorola G54 256GB Azul;"https://exitocol.vteximg.com.br/arquivos/ids/26787335/Moto-G54-256GB-Azul-MOTOROLA-G54-256-gb-256-GB-8-GB-RAM-Azul-3500232_a.jpg?v=638750726354800000;https://exitocol.vteximg.com.br/arquivos/ids/26787338/Moto-G54-256GB-Azul-MOTOROLA-G54-256-gb-256-GB-8-GB-RAM-Azul-3500232_d.jpg?v=638750726362470000;https://exitocol.vteximg.com.br/arquivos/ids/26787342/Moto-G54-256GB-Azul-MOTOROLA-G54-256-gb-256-GB-8-GB-RAM-Azul-3500232_h.jpg?v=638750726369000000";;;
39;Motorola G54 256GB Verde;"https://exitocol.vtexassets.com/arquivos/ids/26787343/Moto-G54-256GB-Verde-MOTOROLA-G54-256-gb-256-GB-8-GB-RAM-Verde-3500233_a.jpg?v=638750726423030000;https://exitocol.vtexassets.com/arquivos/ids/26787346/Moto-G54-256GB-Verde-MOTOROLA-G54-256-gb-256-GB-8-GB-RAM-Verde-3500233_d.jpg?v=638750726434270000;https://exitocol.vtexassets.com/arquivos/ids/26787350/Moto-G54-256GB-Verde-MOTOROLA-G54-256-gb-256-GB-8-GB-RAM-Verde-3500233_h.jpg?v=638750726450470000";;;
40;Motorola Moto G04S 128GB Verde;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061796_7.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061796.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061796_2.jpg";;;
41;Motorola Moto G04S 128GB Azul;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061796.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061796_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061775_7.jpg";;;
42;Motorola Moto G04S 128GB Negro;"https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061788.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061788_2.jpg;https://cdn.claro.com.co/imagenes/v9/catalogo/646x1000/70061788_3.jpg";;;
43;Motorola Moto G04 128GB Negro;"https://puntoscolombia.vtexassets.com/arquivos/ids/26453684-800-auto?v=638462315494370000&width=800&height=auto&aspect=true;https://puntoscolombia.vtexassets.com/arquivos/ids/26453685-800-auto?v=638462315494770000&width=800&height=auto&aspect=true;https://puntoscolombia.vtexassets.com/arquivos/ids/26453683-800-auto?v=638462315494230000&width=800&height=auto&aspect=true";;;
